0,1,2,3,4,5,6,7,8,9,10,11,page,table_number,12,13,14
,,1210,DAIRI,14,-,-,46,6,10,45,-,5,1,-,-,-
,,1211,KARO,2,-,2,7.256,4,-,28,-,5,1,-,-,-
,,1212,"DELI
SERDANG",5,-,-,-,13,11,36,-,5,1,-,-,-
,,1213,LANGKAT,10,3,1,520,2,14,18,606,5,1,-,-,-
,,1217,SAMOSIR,2,1,1,40,4,-,4,-,5,1,-,-,-
,,1218,"SERDANG
BEDAGAI",1,-,-,55,3,-,8,-,5,1,-,1,-
,,1219,BATU BARA,2,-,-,-,1,17,-,1.048,5,1,-,-,-
,,1220,"PADANG
LAWAS
UTARA",1,-,-,-,35,-,32,-,5,1,-,-,-
,,1222,"LABUHAN
BATU
SELATAN",1,-,-,-,-,2,10,-,5,1,-,-,-
,,1223,"LABUHAN
BATU
UTARA",1,5,-,744,27,-,28,114,5,1,-,-,-
,,1271,"KOTA
SIBOLGA",1,-,-,-,-,-,2,-,5,1,-,-,-
,,1275,"KOTA
MEDAN",6,-,-,14.871,-,3,5,4.254,5,1,-,1,-
,,1276,"KOTA
BINJAI",1,-,-,-,-,-,3,-,5,1,-,-,-
,,1277,"KOTA
PADANG
SIDEMP-
UAN",1,-,-,-,8,-,-,145,5,1,-,-,-
13,"SUMA-
TERA
BARAT",1301,"KEPU-
LAUAN
MENTAWAI",3,-,-,-,-,11,-,15,5,1,-,1,1
,,1302,"PESISIR
SELATAN",3,-,-,899,13,-,-,557,5,1,-,-,-
,,1303,SOLOK,2,-,-,-,-,-,3,-,5,1,-,-,-
,,1304,SIJUNJUNG,2,-,-,-,3,-,-,-,5,1,-,-,-
"Kode
Wilayah
Provinsi","Nama
Provinsi","Kode
Wilayah
Kabu-
paten/
Kota","Nama
Kabu-
paten/
Kota","Jumlah
Kejadian",Korban,,,Kerusakan,,,,6,1,,,
,,,,,"Meninggal
& Hilang","Luka-
Luka","Mengungsi &
Terdampak","Rumah
Rusak
Berat","Rumah
Rusak
Sedang","Rumah
Rusak
Ringan","Rumah
Terendam",6,1,"Fasillitas
Pendidikan","Fasilitas
Peribadatan","Fasilitas
Kesehatan"
,,,,,Jiwa,,,Unit,,,,6,1,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),6,1,(13),(14),(15)
,,1305,"TANAH
DATAR",8,1,7,21,3,3,2,-,6,1,-,-,-
,,1306,"PADANG
PARIAMAN",26,3,4,73,13,11,35,545,6,1,1,2,-
,,1307,AGAM,10,-,4,97,5,11,6,7,6,1,1,1,-
,,1308,"LIMA
PULUH
KOTA",10,2,4,7.602,64,11,16,480,6,1,1,-,-
,,1309,PASAMAN,4,-,-,1.155,1,-,1,-,6,1,-,1,-
,,1310,"SOLOK
SELATAN",10,1,62,20.704,185,199,410,4.208,6,1,16,9,4
,,1311,"DHARMAS-
RAYA",4,1,-,300,-,-,-,30,6,1,-,-,-
,,1312,"PASAMAN
BARAT",3,1,-,-,1,2,-,45,6,1,-,-,-
,,1371,"KOTA
PADANG",8,-,-,4.620,3,7,8,-,6,1,-,-,-
,,1373,"KOTA
SAWAHL-
UNTO",6,1,-,359,3,1,6,2,6,1,-,-,-
,,1375,"KOTA
BUKIT-
TINGGI",3,1,2,550,-,-,-,117,6,1,-,-,-
,,1376,"KOTA PAYA-
KUMBUH",1,-,-,-,-,-,-,56,6,1,-,-,-
14,RIAU,1401,"KUANTAN
SINGINGI",4,-,-,1.745,47,-,85,2.258,6,1,3,-,-
,,1402,"INDRAGIRI
HULU",3,-,-,-,-,-,-,213,6,1,-,-,-
,,1403,"INDRAGIRI
HILIR",2,-,-,15,3,-,-,-,6,1,-,-,-
,,1404,"PELALA-
WAN",4,-,-,7.174,-,-,-,2.489,6,1,-,-,-
,,1405,SIAK,3,-,-,-,-,-,-,-,6,1,-,-,-
,,1406,KAMPAR,3,-,-,39.635,-,-,-,1.319,6,1,-,-,-
,,1407,"ROKAN
HULU",6,2,-,10.661,-,-,-,4.252,6,1,-,-,-
,,1408,BENGKALIS,6,-,-,-,-,-,-,-,6,1,-,-,-
,,1409,"ROKAN
HILIR",5,-,7,36,14,53,2,738,6,1,-,-,-
,,1410,"KEPU-
LAUAN
MERANTI",1,-,-,-,-,-,-,-,6,1,-,-,-
"Kode
Wilayah
Provinsi","Nama
Provinsi","Kode
Wilayah
Kabu-
paten/
Kota","Nama
Kabu-
paten/
Kota","Jumlah
Kejadian",Korban,,,Kerusakan,,,,7,1,,,
,,,,,"Meninggal
& Hilang","Luka-
Luka","Mengungsi &
Terdampak","Rumah
Rusak
Berat","Rumah
Rusak
Sedang","Rumah
Rusak
Ringan","Rumah
Terendam",7,1,"Fasillitas
Pendidikan","Fasilitas
Peribadatan","Fasilitas
Kesehatan"
,,,,,Jiwa,,,Unit,,,,7,1,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),7,1,(13),(14),(15)
,,1471,"KOTA
PEKAN-
BARU",6,1,-,-,-,-,-,-,7,1,-,-,-
,,1473,"KOTA
DUMAI",15,-,-,-,-,-,-,-,7,1,-,-,-
15,JAMBI,1501,KERINCI,3,-,-,480,2,-,-,111,7,1,-,-,-
,,1502,MERANGIN,5,-,-,-,-,-,29,772,7,1,-,-,2
,,1503,"SAROLAN-
GUN",7,1,1,16.970,-,-,-,3.127,7,1,1,-,-
,,1504,"BAT-
ANGHARI",3,-,-,50,-,-,-,-,7,1,2,-,-
,,1505,"MUARO
JAMBI",1,-,-,-,-,-,-,-,7,1,-,-,-
,,1506,"TANJUNG
JABUNG
TIMUR",4,-,-,220,-,-,-,28,7,1,-,-,-
,,1507,"TANJUNG
JABUNG
BARAT",1,-,-,-,-,-,-,-,7,1,-,-,-
