page,text_preview,num_tables_found
21,"Tabel L3. Kejadian Bencana di Indonesia Berdasarkan Tahun 2019 Kabupaten/Kota (Lanjutan)
Kode Nama Kode Nama Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kabu- Kejadian
Meninggal Luka- Mengungsi & Rumah Rumah Rumah Rumah Fasillitas Fasilitas Fasilitas
Provinsi Kabu- paten/
& Hilang Luka Terdampak Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
paten/ Kota
Berat Sedang Ringan
Kota
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
8271 KOTA 1 - 2 - - - 39 ",1
22,"LAMPIRAN 2 - BANJIR 2019
Tabel L4. Kejadian Bencana Banjir Tahun 2019 Berdasarkan Provinsi
Kode Nama Provinsi Jumlah Korban Kerusakan
Wilayah Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi
& Hilang Sakit & Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
Terdampak Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13)
11 ACEH 65 - - 71.071 9 12 273 5.290 8 5 -
12 SUMATERA UTARA 22 6 1 19.062 40 - 32 6.7",1
23,"Tabel L5. Kejadian Bencana Banjir Tahun 2019 Berdasarkan Kabupaten/Kota
Kode Nama Kode Nama Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kabupaten/ Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten/ Kota
& Hilang Sakit & Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
Kota
Terdampak Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
11 ACEH 1101 SIMEULUE 9 - 7.484 207 1.554 6 3",1
24,"LAMPIRAN 2 - BANJIR 2019
Tabel L5. Kejadian Bencana Banjir Tahun 2019 Berdasarkan Kabupaten/Kota (Lanjutan)
Kode Nama Kode Nama Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kabupaten/ Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten/ Kota
& Hilang Sakit & Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
Kota
Terdampak Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
1223 LABU",1
25,"Tabel L5. Kejadian Bencana Banjir Tahun 2019 Berdasarkan Kabupaten/Kota (Lanjutan)
Kode Nama Kode Nama Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kabupaten/ Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten/ Kota
& Hilang Sakit & Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
Kota
Terdampak Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
1504 BATANGHARI 1 - 50 2 - -
1506 ",1
26,"LAMPIRAN 2 - BANJIR 2019
Tabel L5. Kejadian Bencana Banjir Tahun 2019 Berdasarkan Kabupaten/Kota (Lanjutan)
Kode Nama Kode Nama Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kabupaten/ Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten/ Kota
& Hilang Sakit & Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
Kota
Terdampak Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
18 LAM- 1",1
27,"Tabel L5. Kejadian Bencana Banjir Tahun 2019 Berdasarkan Kabupaten/Kota (Lanjutan)
Kode Nama Kode Nama Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kabupaten/ Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten/ Kota
& Hilang Sakit & Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
Kota
Terdampak Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
3212 INDRAMAYU 1 - 25.833 8.271 - ",1
28,"LAMPIRAN 2 - BANJIR 2019
Tabel L5. Kejadian Bencana Banjir Tahun 2019 Berdasarkan Kabupaten/Kota (Lanjutan)
Kode Nama Kode Nama Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kabupaten/ Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten/ Kota
& Hilang Sakit & Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
Kota
Terdampak Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
3323 TEMA",1
29,"Tabel L5. Kejadian Bencana Banjir Tahun 2019 Berdasarkan Kabupaten/Kota (Lanjutan)
Kode Nama Kode Nama Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kabupaten/ Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten/ Kota
& Hilang Sakit & Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
Kota
Terdampak Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
3520 MAGETAN 1 - 1.797 494 - - -
3",1
30,"LAMPIRAN 2 - BANJIR 2019
Tabel L5. Kejadian Bencana Banjir Tahun 2019 Berdasarkan Kabupaten/Kota (Lanjutan)
Kode Nama Kode Nama Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kabupaten/ Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten/ Kota
& Hilang Sakit & Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
Kota
Terdampak Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
53 NUSA 5",1
