0,1,2,3,4,5,6,7,8,9,10,11,page,table_number,12,13,14
,,1220,"PADANG LAWAS
UTARA",19,-,-,480,,,,110,4,1,-,-,-
,,1221,PADANG LAWAS,19,4,1,7.984,6,13,75,2.077,4,1,8,2,-
,,1222,"LABUHANBATU
SELATAN",13,-,-,7.471,,,,1.486,4,1,-,-,-
"Kode
Wilayah
Provinsi",Nama Provinsi,"Kode
Wilayah
Kabupaten
/ Kota","Nama Kabupaten/
Kota","Jumlah
Kejadian",Korban,,,Kerusakan,,,,5,1,,,
,,,,,"Meninggal
& Hilang","Luka-
Luka","Mengungsi
&
Terdampak",Rumah,,,,5,1,"Fasillitas
Pendidikan","Fasilitas
Peribadatan","Fasilitas
Kesehatan"
,,,,,,,,"Rusak
Berat","Rusak
Sedang","Rusak
Ringan",Terendam,5,1,,,
,,,,,Jiwa,,,Unit,,,,5,1,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),5,1,(13),(14),(15)
,,1223,"LABUHANBATU
UTARA",24,-,-,23.277,9,27,23,2.570,5,1,-,-,-
,,1224,NIAS UTARA,2,-,-,3.200,,,,600,5,1,-,-,-
,,1225,NIAS BARAT,2,-,,8.545,,,,2.107,5,1,-,-,-
,,1271,KOTA MEDAN,13,-,-,42.634,,33,15,11.366,5,1,-,-,-
,,1272,"KOTA
PEMATANGSIANTAR",4,-,,180,16,3,4,30,5,1,-,-,-
,,1273,KOTA SIBOLGA,1,-,-,1.565,,,,313,5,1,-,-,-
,,1274,"KOTA TANJUNG
BALAI",4,-,-,62.322,,,,14.029,5,1,-,-,-
,,1275,KOTA BINJAI,6,-,-,28.593,,5,1,6.882,5,1,-,-,-
,,1276,KOTA TEBING TINGGI,2,-,,11.037,,,,3.044,5,1,-,-,-
,,1277,"KOTA PADANG
SIDEMPUAN",8,1,-,1.850,,,,467,5,1,-,-,-
,,1278,"KOTA
GUNUNGSITOLI",4,-,-,2.970,,,,123,5,1,-,-,-
13,"SUMATERA
BARAT",1301,PESISIR SELATAN,15,30,-,175.984,1.183,4.325,4.673,36.721,5,1,-,-,-
,,1302,SOLOK,5,13,12,696,,,16,35,5,1,-,-,-
,,1303,SIJUNJUNG,8,-,-,4.579,6,,64,1.050,5,1,-,1,-
,,1304,TANAH DATAR,6,43,2,6.434,173,41,3,230,5,1,-,1,-
,,1305,PADANG PARIAMAN,8,13,36,36.578,24,58,12,10.684,5,1,-,-,-
,,1306,AGAM,10,28,23,5.878,66,42,302,343,5,1,5,7,-
,,1307,LIMA PULUH KOTA,8,5,-,6.055,15,,825,1.197,5,1,-,3,1
,,1308,PASAMAN,2,-,-,2.205,,,,441,5,1,1,1,-
,,1309,"KEPULAUAN
MENTAWAI",3,-,-,4.131,,,34,833,5,1,-,-,-
,,1310,DHARMASRAYA,9,3,1,8.366,,606,211,2.904,5,1,11,-,-
,,1311,SOLOK SELATAN,7,-,-,1.918,20,25,37,389,5,1,-,-,-
,,1312,PASAMAN BARAT,6,1,-,2.895,14,3,,1.357,5,1,-,-,-
,,1371,KOTA PADANG,3,2,12,47.831,54,,82,10.960,5,1,2,-,4
,,1372,KOTA SOLOK,1,-,-,3.028,,,,692,5,1,-,-,-
,,1373,KOTA SAWAHLUNTO,1,-,-,828,,,,240,5,1,2,1,-
,,1374,"KOTA PADANG
PANJANG",1,2,1,471,3,,,6,5,1,-,1,-
,,1375,KOTA BUKITTINGGI,2,-,-,1.075,,,,215,5,1,-,-,-
,,1376,KOTA PAYAKUMBUH,2,-,1,315,14,21,58,,5,1,-,-,-
,,1377,KOTA PARIAMAN,1,-,-,2.735,,,,547,5,1,-,-,-
14,RIAU,1401,KAMPAR,12,-,-,10.602,6,4,50,2.916,5,1,2,3,-
,,1402,INDRAGIRI HULU,8,-,-,87.703,,,,20.761,5,1,-,-,16
,,1403,BENGKALIS,2,-,-,4.449,,,,961,5,1,-,-,-
,,1404,INDRAGIRI HILIR,8,-,-,10.936,39,10,102,2.873,5,1,-,-,-
,,1405,PELALAWAN,2,-,-,25.663,,,,7.036,5,1,-,-,-
,,1406,ROKAN HULU,6,-,-,11.104,,,,1.387,5,1,-,-,-
,,1407,ROKAN HILIR,5,-,-,70.624,,,,16.550,5,1,-,-,-
"Kode
Wilayah
Provinsi",Nama Provinsi,"Kode
Wilayah
Kabupaten
/ Kota","Nama Kabupaten/
Kota","Jumlah
Kejadian",Korban,,,Kerusakan,,,,6,1,,,
