page,text_preview,num_tables_found
21,"Tabel L5. Kejadian Bencana Banjir Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan).
Kode Nama Kode Nama Kabupaten/ Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kota Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten
& Hilang Sakit & Terdampak Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
/ Kota
Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
3210 MAJALENGKA 1 - - 7.141 ",1
22,"LAMPIRAN DATA BENCANA INDONESIA TAHUN 2024
Tabel L5. Kejadian Bencana Banjir Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan).
Kode Nama Kode Nama Kabupaten/ Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kota Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten
& Hilang Sakit & Terdampak Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
/ Kota
Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) ",1
23,"Tabel L5. Kejadian Bencana Banjir Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan).
Kode Nama Kode Nama Kabupaten/ Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kota Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten
& Hilang Sakit & Terdampak Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
/ Kota
Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
36 BANTEN 3601 PANDEGLANG 9 ",1
24,"LAMPIRAN DATA BENCANA INDONESIA TAHUN 2024
Tabel L5. Kejadian Bencana Banjir Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan).
Kode Nama Kode Nama Kabupaten/ Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kota Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten
& Hilang Sakit & Terdampak Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
/ Kota
Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) ",1
25,"Tabel L5. Kejadian Bencana Banjir Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan).
Kode Nama Kode Nama Kabupaten/ Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kota Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten
& Hilang Sakit & Terdampak Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
/ Kota
Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
6472 KOTA SAMARINDA 7 1 - 2.",1
26,"LAMPIRAN DATA BENCANA INDONESIA TAHUN 2024
Tabel L5. Kejadian Bencana Banjir Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan).
Kode Nama Kode Nama Kabupaten/ Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kota Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten
& Hilang Sakit & Terdampak Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
/ Kota
Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) ",1
27,"Tabel L5. Kejadian Bencana Banjir Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan).
Kode Nama Kode Nama Kabupaten/ Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kota Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten
& Hilang Sakit & Terdampak Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
/ Kota
Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
8106 SERAM BAGIAN 5 - - 3.88",1
28,"LAMPIRAN DATA BENCANA INDONESIA TAHUN 2024
Tabel L6. Kejadian Bencana Cuaca Ekstrem Tahun 2024 Berdasarkan Provinsi
Kode Nama Provinsi Jumlah Korban Kerusakan
Wilayah Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi
& Hilang Sakit & Terdampak Rusak Rusak Rusak Pendidikan Peribadatan Kesehatan
Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12)
11 ACEH 14 2 1 777 44 38 130 2 - -
12 SUMATERA UTARA 43 7 23 2.804 147 222 40",1
29,"Tabel L7. Kejadian Bencana Cuaca Ekstrem Tahun 2024 Berdasarkan Kabupaten/Kota.
Kode Nama Kode Nama Kabupaten Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah / Kota Kejadian
Meninggal Luka / Mengungsi & Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten /
& Hilang Sakit Terdampak Rusak Rusak Rusak Pendidikan Peribadatan Kesehatan
Kota
Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14)
11 ACEH 1102 ACEH TENGGARA 1 - - 41 4 4 5 - - -
110",1
30,"LAMPIRAN DATA BENCANA INDONESIA TAHUN 2024
Tabel L7. Kejadian Bencana Cuaca Ekstrem Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan).
Kode Nama Kode Nama Kabupaten Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah / Kota Kejadian
Meninggal Luka / Mengungsi & Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten /
& Hilang Sakit Terdampak Rusak Rusak Rusak Pendidikan Peribadatan Kesehatan
Kota
Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (1",1
31,"Tabel L7. Kejadian Bencana Cuaca Ekstrem Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan).
Kode Nama Kode Nama Kabupaten Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah / Kota Kejadian
Meninggal Luka / Mengungsi & Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten /
& Hilang Sakit Terdampak Rusak Rusak Rusak Pendidikan Peribadatan Kesehatan
Kota
Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14)
32 JAWA BARAT 3201 BOGOR 83 2 13 7.259 1",1
32,"LAMPIRAN DATA BENCANA INDONESIA TAHUN 2024
Tabel L7. Kejadian Bencana Cuaca Ekstrem Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan).
Kode Nama Kode Nama Kabupaten Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah / Kota Kejadian
Meninggal Luka / Mengungsi & Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten /
& Hilang Sakit Terdampak Rusak Rusak Rusak Pendidikan Peribadatan Kesehatan
Kota
Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (1",1
33,"Tabel L7. Kejadian Bencana Cuaca Ekstrem Tahun 2024 Berdasarkan Kabupaten/Kota.
Kode Nama Kode Nama Kabupaten Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah / Kota Kejadian
Meninggal Luka / Mengungsi & Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten /
& Hilang Sakit Terdampak Rusak Rusak Rusak Pendidikan Peribadatan Kesehatan
Kota
Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14)
3523 TUBAN 2 - - 110 - 3 30 - - -
3524 LAMONGAN 5 -",1
